time;PV1;PV3;PV4;WP4;WP7;WP10;BM1;Hydro1;lv_rural1;lv_rural2;lv_rural3;lv_semiurb4;lv_semiurb5;lv_urban6
01.01.2016 00:00;0;0;0;0.980906;0.991261;0.957244;0.702308;0.995448;0;0;0;0;0;0
01.01.2016 00:15;0;0;0;0.983083;0.991023;0.952915;0.702483;0.995499;0;0;0;0;0;0
01.01.2016 00:30;0;0;0;0.985261;0.990784;0.948586;0.702659;0.995874;0;0;0;0;0;0
01.01.2016 00:45;0;0;0;0.987438;0.990546;0.944257;0.702834;0.995499;0;0;0;0;0;0
01.01.2016 01:00;0;0;0;0.989616;0.990307;0.939928;0.703009;0.995874;0;0;0;0;0;0
01.01.2016 01:15;0;0;0;0.990115;0.989069;0.951726;0.701129;0.995499;0;0;0;0;0;0
01.01.2016 01:30;0;0;0;0.990615;0.987832;0.963524;0.699248;0.995499;0;0;0;0;0;0
01.01.2016 01:45;0;0;0;0.991115;0.986594;0.975322;0.697367;0.995499;0;0;0;0;0;0
01.01.2016 02:00;0;0;0;0.991615;0.985356;0.987121;0.695486;0.995499;0;0;0;0;0;0
01.01.2016 02:15;0;0;0;0.991696;0.986617;0.987652;0.691872;0.995874;0;0;0;0;0;0
01.01.2016 02:30;0;0;0;0.991777;0.987879;0.988183;0.688258;0.995874;0;0;0;0;0;0
01.01.2016 02:45;0;0;0;0.991858;0.98914;0.988714;0.684644;0.995499;0;0;0;0;0;0
01.01.2016 03:00;0;0;0;0.991939;0.990401;0.989245;0.68103;0.995499;0;0;0;0;0;0
01.01.2016 03:15;0;0;0;0.991727;0.989879;0.989749;0.678364;0.995499;0;0;0;0;0;0
01.01.2016 03:30;0;0;0;0.991516;0.989357;0.990253;0.675698;0.995874;0;0;0;0;0;0
01.01.2016 03:45;0;0;0;0.991304;0.988835;0.990756;0.673031;0.995874;0;0;0;0;0;0
01.01.2016 04:00;0;0;0;0.991093;0.988313;0.99126;0.670365;0.995874;0;0;0;0;0;0
01.01.2016 04:15;0;0;0;0.990483;0.988864;0.99117;0.667878;0.995124;0;0;0;0;0;0
01.01.2016 04:30;0;0;0;0.989874;0.989416;0.99108;0.665392;0.995499;0;0;0;0;0;0
01.01.2016 04:45;0;0;0;0.989265;0.989967;0.99099;0.662905;0.995499;0;0;0;0;0;0
01.01.2016 05:00;0;0;0;0.988655;0.990518;0.9909;0.660418;0.995499;0;0;0;0;0;0
01.01.2016 05:15;0;0;0;0.989279;0.988799;0.988321;0.659707;0.995874;0;0;0;0;0;0
01.01.2016 05:30;0;0;0;0.989902;0.987079;0.985742;0.658995;0.995874;0;0;0;0;0;0
01.01.2016 05:45;0;0;0;0.990525;0.98536;0.983162;0.658283;0.995499;0;0;0;0;0;0
01.01.2016 06:00;0;0;0;0.991149;0.98364;0.980583;0.657571;0.995124;0;0;0;0;0;0
01.01.2016 06:15;0;0;0;0.990621;0.985304;0.981886;0.654598;0.995499;0;0;0;0;0;0
01.01.2016 06:30;0;0;0;0.990093;0.986968;0.983189;0.651625;0.995499;0;0;0;0;0;0
01.01.2016 06:45;0;0;0;0.989565;0.988632;0.984493;0.648651;0.995874;0;0;0;0;0;0
01.01.2016 07:00;0;0;0;0.989037;0.990296;0.985796;0.645678;0.995499;0;0;0;0;0;0
01.01.2016 07:15;0;0;0;0.989251;0.9904;0.985229;0.642949;0.995124;0;0;0;0;0;0
01.01.2016 07:30;0;0;0;0.989465;0.990504;0.984663;0.64022;0.995124;0;0;0;0;0;0
01.01.2016 07:45;0;0;0;0.989679;0.990608;0.984097;0.637491;0.994749;0;0;0;0;0;0
01.01.2016 08:00;0;0;0;0.989893;0.990712;0.98353;0.634762;0.995124;0;0;0;0;0;0
01.01.2016 08:15;0;0;0;0.989517;0.987967;0.977818;0.633681;0.995499;0;0;0;0;0;0
01.01.2016 08:30;0;0;0;0.989141;0.985221;0.972107;0.632601;0.994749;0;0;0;0;0;0
01.01.2016 08:45;0;0;0;0.988765;0.982475;0.966395;0.63152;0.994749;0;0;0;0;0;0
01.01.2016 09:00;0;0;0;0.988389;0.979729;0.960683;0.630439;0.994749;0;0;0;0;0;0
01.01.2016 09:15;0;0;0;0.988615;0.98251;0.950756;0.634473;0.994749;0;0;0;0;0;0
01.01.2016 09:30;0;0;0;0.988842;0.985292;0.94083;0.638506;0.995124;0;0;0;0;0;0
01.01.2016 09:45;0;0;0;0.989069;0.988073;0.930904;0.642539;0.995124;0;0;0;0;0;0
01.01.2016 10:00;0;0;0;0.989295;0.990855;0.920977;0.646573;0.995124;0;0;0;0;0;0
01.01.2016 10:15;0;0;0;0.987399;0.988874;0.91579;0.646325;0.995499;0;0;0;0;0;0
